date,origin,destination,total_trips
2020-04-02,5001,5088,4394
2020-04-02,5001,5129,492
2020-04-02,5001,5360,7465
2020-04-02,5045,5837,179
2020-04-02,5088,5001,3627
2020-04-02,5088,5129,21
2020-04-02,5088,5360,676
2020-04-02,5129,5001,520
2020-04-02,5129,5088,31
2020-04-02,5129,5360,691
2020-04-02,5360,5001,7445
2020-04-02,5360,5088,841
2020-04-02,5360,5129,737
2020-04-02,5837,5045,142
2020-04-02,8001,8078,84
2020-04-02,8001,8296,99
2020-04-02,8001,8433,2644
2020-04-02,8001,8573,196
2020-04-02,8001,8638,42
2020-04-02,8078,8001,60
2020-04-02,8078,8296,10
2020-04-02,8296,8001,85
2020-04-02,8296,8078,33
2020-04-02,8296,8433,93
2020-04-02,8433,8001,1909
2020-04-02,8433,8296,55
2020-04-02,8433,8573,12
2020-04-02,8573,8001,178
2020-04-02,8573,8433,26
2020-04-02,8638,8001,57
2020-04-02,11001,25175,638
2020-04-02,11001,25290,43
2020-04-02,11001,25473,2435
2020-04-02,11001,25754,23274
2020-04-02,11001,50001,12
2020-04-02,15001,15759,10
2020-04-02,15238,15759,18
2020-04-02,15759,15001,23
2020-04-02,23001,23162,178
2020-04-02,23162,23001,122
2020-04-02,25175,11001,681
2020-04-02,25175,25473,46
2020-04-02,25175,25754,25
2020-04-02,25175,25899,25
2020-04-02,25290,11001,63
2020-04-02,25473,11001,2101
2020-04-02,25473,25175,44
2020-04-02,25473,25754,358
2020-04-02,25754,11001,17172
2020-04-02,25754,25175,13
2020-04-02,25754,25290,11
2020-04-02,25754,25473,241
2020-04-02,25899,25175,13
2020-04-02,41001,18001,20
2020-04-02,47001,47189,177
2020-04-02,47189,47001,249
2020-04-02,52001,52356,39
2020-04-02,54001,54874,741
2020-04-02,54874,54001,977
2020-04-02,66001,17001,16
2020-04-02,66001,76147,332
2020-04-02,68001,68276,2027
2020-04-02,68001,68307,2267
2020-04-02,68001,68547,487
2020-04-02,68276,68001,1558
2020-04-02,68276,68307,1901
2020-04-02,68276,68547,778
2020-04-02,68307,68001,1995
2020-04-02,68307,68081,10
2020-04-02,68307,68276,1901
2020-04-02,68307,68547,420
2020-04-02,68547,68001,381
2020-04-02,68547,68276,623
2020-04-02,68547,68307,358
2020-04-02,73268,73001,32
2020-04-02,76001,76111,11
2020-04-02,76001,76520,1343
2020-04-02,76001,76892,1351
2020-04-02,76109,76001,12
2020-04-02,76111,76001,30
2020-04-02,76111,76520,10
2020-04-02,76111,76834,121
2020-04-02,76147,66001,354
2020-04-02,76520,76001,1144
2020-04-02,76520,76892,97
2020-04-02,76834,76111,62
2020-04-02,76892,76001,1499
2020-04-02,76892,76520,94
2020-04-03,5001,5088,3707
2020-04-03,5001,5129,489
2020-04-03,5001,5360,7029
2020-04-03,5045,5837,110
2020-04-03,5088,5001,3760
2020-04-03,5088,5129,44
2020-04-03,5088,5360,741
2020-04-03,5129,5001,497
2020-04-03,5129,5088,17
2020-04-03,5129,5360,675
2020-04-03,5360,5001,7083
2020-04-03,5360,5088,746
2020-04-03,5360,5129,650
2020-04-03,5837,5045,100
2020-04-03,8001,8078,71
2020-04-03,8001,8296,98
2020-04-03,8001,8433,2085
2020-04-03,8001,8573,178
2020-04-03,8001,8638,43
2020-04-03,8078,8001,57
2020-04-03,8296,8001,102
2020-04-03,8296,8078,11
2020-04-03,8296,8433,57
2020-04-03,8433,8001,2132
2020-04-03,8433,8296,75
2020-04-03,8433,8573,12
2020-04-03,8573,8001,176
2020-04-03,8573,8433,11
2020-04-03,8638,8001,35
2020-04-03,8638,8078,10
2020-04-03,8638,8433,10
2020-04-03,11001,25175,645
2020-04-03,11001,25290,58
2020-04-03,11001,25473,2307
2020-04-03,11001,25754,19362
2020-04-03,11001,50001,22
2020-04-03,11001,73001,10
2020-04-03,15001,15759,11
2020-04-03,15238,15759,17
2020-04-03,15759,15238,29
2020-04-03,17001,66001,10
2020-04-03,23001,23162,147
2020-04-03,23162,23001,152
2020-04-03,25175,11001,647
2020-04-03,25175,25473,45
2020-04-03,25175,25754,20
2020-04-03,25175,25899,13
2020-04-03,25290,11001,50
2020-04-03,25290,25754,10
2020-04-03,25473,11001,2311
2020-04-03,25473,25175,45
2020-04-03,25473,25754,252
2020-04-03,25754,11001,19431
2020-04-03,25754,25175,21
2020-04-03,25754,25473,250
2020-04-03,25899,25175,17
2020-04-03,47001,8001,10
2020-04-03,47001,47189,191
2020-04-03,47189,47001,196
